Reference, Value, Footprint, Datasheet
"C1","47µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"U3","74LS30","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS30"
"C3","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"C2","100nF","Capacitor_THT:C_Rect_L7.0mm_W2.0mm_P5.00mm","~"
"J1","SLOT1","Connector_IDC:IDC-Header_2x17_P2.54mm_Horizontal","~"
"U2","74LS04","Package_DIP:DIP-14_W7.62mm_LongPads","http://www.ti.com/lit/gpn/sn74LS04"
"D1","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"U1","6551","Package_DIP:DIP-28_W15.24mm_LongPads","http://www.6502.org/documents/datasheets/mos/mos_6551_acia.pdf"
"U4","MAX232","Package_DIP:DIP-16_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/max232.pdf"
"C4","1µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C5","1µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C6","1µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C7","1µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"J2","RS232","Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.84mm"," ~"
"C8","22pF","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
"Y1","1.8432MHz","Crystal:Crystal_HC49-U_Horizontal","~"
"R1","1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
